,time,value,value2,month,year,year2,day,date
163,Sep-18,106.3,106.3,Sep,18,2018,01,2018-Sep-01
164,Oct-19,107.3,107.3,Oct,19,2019,01,2019-Oct-01
165,Apr-20,108.0,108.0,Apr,20,2020,01,2020-Apr-01
166,Jun-20,108.3,108.3,Jun,20,2020,01,2020-Jun-01
167,Jul-20,108.3,108.3,Jul,20,2020,01,2020-Jul-01
168,Apr-21,108.1,108.1,Apr,21,2021,01,2021-Apr-01
169,Jan-06,76.8,76.8,Jan,06,2006,01,2006-Jan-01
170,Apr-06,77.3,77.3,Apr,06,2006,01,2006-Apr-01
171,Jul-06,77.8,77.8,Jul,06,2006,01,2006-Jul-01
172,Jul-07,80.0,80.0,Jul,07,2007,01,2007-Jul-01
173,Sep-08,84.0,84.0,Sep,08,2008,01,2008-Sep-01
174,Nov-08,84.9,84.9,Nov,08,2008,01,2008-Nov-01
175,Mar-12,91.0,91.0,Mar,12,2012,01,2012-Mar-01
176,Mar-13,95.1,95.1,Mar,13,2013,01,2013-Mar-01
177,Oct-14,99.0,99.0,Oct,14,2014,01,2014-Oct-01
178,Feb-16,104.1,104.1,Feb,16,2016,01,2016-Feb-01
179,Apr-17,106.1,106.1,Apr,17,2017,01,2017-Apr-01
180,Mar-18,106.1,106.1,Mar,18,2018,01,2018-Mar-01
181,Apr-18,106.1,106.1,Apr,18,2018,01,2018-Apr-01
182,May-18,106.1,106.1,May,18,2018,01,2018-May-01
183,Dec-18,106.4,106.4,Dec,18,2018,01,2018-Dec-01
184,Feb-20,107.7,107.7,Feb,20,2020,01,2020-Feb-01
185,Nov-20,108.5,108.5,Nov,20,2020,01,2020-Nov-01
186,May-06,77.4,77.4,May,06,2006,01,2006-May-01
187,Jan-07,78.4,78.4,Jan,07,2007,01,2007-Jan-01
188,Dec-10,85.9,85.9,Dec,10,2010,01,2010-Dec-01
189,Sep-07,80.6,80.6,Sep,07,2007,01,2007-Sep-01
190,Jun-08,83.4,83.4,Jun,08,2008,01,2008-Jun-01
191,Jan-11,86.3,86.3,Jan,11,2011,01,2011-Jan-01
192,Oct-11,89.1,89.1,Oct,11,2011,01,2011-Oct-01
193,Nov-11,89.5,89.5,Nov,11,2011,01,2011-Nov-01
194,Jul-12,92.6,92.6,Jul,12,2012,01,2012-Jul-01
195,Jan-13,94.7,94.7,Jan,13,2013,01,2013-Jan-01
196,Jul-15,102.0,102.0,Jul,15,2015,01,2015-Jul-01
197,Oct-15,103.0,103.0,Oct,15,2015,01,2015-Oct-01
198,Jan-16,103.9,103.9,Jan,16,2016,01,2016-Jan-01
199,Mar-16,104.4,104.4,Mar,16,2016,01,2016-Mar-01
200,Jan-17,106.1,106.1,Jan,17,2017,01,2017-Jan-01
